channel_name,subscribers,total_views,total_videos
Linus Tech Tips,16600000,9092244390,6989
Programming with Mosh,4860000,257598451,243
TechSource,4010000,870967915,1897
Bro Code,2990000,178609297,1000
John Hammond,2080000,82120292,1740
TechLinked,1990000,628661984,1214
The Coding Train,1750000,131666208,1287
Paul's Hardware,1530000,293634526,1789
Corey Schafer,1490000,105351847,254
Android Developers,1400000,1247156348,2562
Sebastian Lague,1380000,110240344,291
MrMobile [Michael Fisher],1270000,250689795,611
Loi Liang Yang,1190000,56374730,490
JavaScript Mastery,1190000,104029236,186
HackerSploit,997000,44883407,486
MobileTechReview,966000,309863327,1929
The Cyber Mentor,951000,35150876,528
CRATER,915000,117271612,165
Amazon Web Services,826000,197934117,18375
Python Programmer,761000,48362696,225
Codevolution,743000,143994316,1775
SuperSimpleDev,742000,33363775,36
Bloomberg Technology,709000,167411783,13014
CodeWithChris,624000,49349975,685
Chigz Tech Reviews,589000,172729070,2112
zSecurity,574000,21250489,313
PC Builder,566000,90200696,503
Coder Coder,537000,17693817,105
Clément Mihailescu,532000,86347780,280
Jeremy's IT Lab,512000,51866901,321
DeepLearningAI,459000,24085373,520
w3schools.com,455000,16154630,362
OzTalksHW,415000,48053134,256
Cisco,403000,22574212,2193
WsCube Cyber Security,388000,16526378,629
365 Data Science,363000,16659071,273
NetworKing,337000,22581540,67
Software Engineering With Scott Moore,304000,2827084,659
Be A Better Dev,275000,22197509,488
BRO COOLING,274000,41828772,159
GeekaWhat,271000,89746060,1241
Modern Software Engineering,248000,16153036,522
Tech With Lucy,245000,9633941,140
Apple Developer,245000,11520832,828
Computer Science Lessons,243000,19783589,362
Consumer Tech Review,227000,66712714,552
The Pragmatic Engineer,213000,8335656,147
tutoriaLinux,213000,16256546,239
Real Python,205000,10669546,1041
Machine Learning Street Talk,204000,11577426,310
Coding Addict,201000,10207061,790
In Depth Tech Reviews,192000,39257478,699
Machine Learnia,189000,11509552,81
PC BUILD-ASMR,182000,79392415,352
Sean Allen,169000,13287759,520
Computer Science Center,165000,13083760,903
"Kevin Wallace Training, LLC",159000,11940635,399
AWS Events,156000,39310043,11530
PLC Programming Tutorials Tips and Tricks,154000,12253914,441
Gadget Tech Tips,144000,31306579,1177
iOS Academy,124000,14811990,777
Stephane Maarek,124000,8858627,201
techandtips,123000,24810201,936
Tech tips,120000,2045728,66
Super Data Science: ML & AI Podcast with Jon Krohn,120000,3707438,2286
Tech Sky - Ethical Hacking,120000,3488451,82
Software Engineering - ALX,120000,26785,13
Data Science Dojo,118000,6807140,832
Computer Science (compsci112358),116000,8480926,335
Unfold Data Science,108000,8804949,809
Marina Wyss - AI & Machine Learning,100000,2782558,74
AWS with Chetan,99100,4728169,50
ColorCode,98100,3905098,114
Cisco Config,97900,7418766,50
DataScience ForBusiness,95700,2954108,105
SoftwareSchool - Coding Tutorials In Telugu,90000,5821919,1036
Tech Tips,87500,739649,218
Digital Cloud Training,82800,5903814,377
Programming and Math Tutorials,79600,10515689,265
MrBrownCS,76900,11531428,672
Tech News,73400,13287861,807
Linux Guides,66100,17011843,994
Software Developer Diaries,61300,2932759,180
whitesec cyber security ,56200,1594167,33
Python Coding (CLCODING),53800,848604,1283
Data Science Academy,53600,15529412,1146
Cisco Network Learning,51600,4539623,293
Sheryians AI School,49200,1743107,103
Software Engineering,48200,4346110,570
Learn Computer Science,46900,2916967,43
Tyler Ramsbey - Hack Smarter,45800,1922092,761
Code with Josh,44600,1900481,371
Type-C Tech Reviews,42700,16334365,230
CloudWolf AWS,39600,469622,352
Radu Mariescu-Istodor,39500,1825486,427
"All Things JavaScript, LLC",38700,2647376,253
WB Web Development Solutions,37900,3491596,133
Python Tutorials for Digital Humanities,36700,3099229,297
The Tech Reviewer,36100,19251170,911
Android Knowledge,33300,3725817,268
TA Tech Tips,31000,7123645,937
Freaky Tech Reviews,30800,3821969,186
Talk Python,28100,995604,558
Linux Training Academy,27300,1366011,40
The TWIML AI Podcast with Sam Charrington,27200,1111506,1286
Daily Tech News Show,27000,4639749,5108
Lukas | Web Development & Design,23700,1335643,13
PC Building Simulator,23400,6560334,154
Programming Tutorials,22800,3391942,296
Web Design Mastery,22700,2271608,201
Everyday Data Science,22400,1913239,623
BadIntent Stream Tech Reviews,21300,9048963,241
Tech News Today,19500,1261696,1218
PC BUILD - USA,19500,11435167,329
BeSA Cloud Academy,18500,287327,227
Software Engineering Institute | Carnegie Mellon University,18200,1418500,1572
Towards Data Science,17900,349758,152
Programming in Python,17700,446998,530
Coding Tutorials,16400,775239,188
Learning Python,16300,1121325,152
Tech News Weekly,15200,429984,414
Web Dev Mastery,15100,1036647,256
🥷 RTP Tech Tips 📡,14200,1257653,395
Cloud Simplified,13300,592201,122
AWS Partner Network,12100,279783,545
Software Engineering Daily,11400,302138,1138
Georgia Web Development,11200,6878757,212
Machine Learning and AI Academy,11000,130381,60
The Helpful Hacker,10900,587499,64
Visual Computer Science,10800,839331,35
